단어,label
필요로,1
확대가,1
이어지고,1
대폭,0
성장할,1
기대한다고,1
제공한다,1
적용돼,0
높아지고,1
활용,1
소개된다,1
높은 인식률,1
주도하고,1
집중하고,1
소개될 예정이라며,1
긴밀한 소통과,1
협업,1
기회를 모색하겠다고,1
개최된다,1
기회도 제공한다,1
계약체결,1
주식취득,1
신주는,1
주주배정,1
청약은,1
상장될,1
초거대 융합을,1
사업적 성과를,1
성과를 거두고,1
투자가 늘어나면,1
실적이 더욱,1
전망된다,1
독보적인,1
기술력뿐,-1
역량을 기반으로,1
취득하며,1
제품화,1
수익화를 통한 구조를,1
선순환,1
성공적으로,1
정착시켰다며,1
제고를,1
적극적으로,1
신사업을 발굴,1
육성해왔다고,1
증자로,1
신규사업,1
투자,1
재원이,1
확보됨에,1
이익을 제고할,1
주주이익 확정하고,1
확정했다고,1
진행된다,1
강조했다,1
전망된다,1
정착시켰다며,1
취득했다고,1
공시했다,1
협력이라고,1
취득키로,1
협력을 위한,1
취득이라고,1
사용자가 증가했다고,1
국내에서 유일하게,1
서비스도 제공된다,1
성능을 보여준다,1
비용 부담없이,1
강점이다,1
원하는,1
편리한,1
관심을 보이고,1
애용하고,1
선호하는,1
편리하다며,1
효율화는,1
편리하다고,1
자랑한다,1
선보인다,1
선보인다고,1
적용됐다,1
사람처럼 구현하는,1
전문가로 구성된,1
상용화한,1
감소될,-1
전망이다,1
고도화중이라며,1
적용되어,1
최적화시켰다,1
상용화했다,1
감소시킨다,-1
과다한비용이,-1
문제를 해소시켜,1
기여하고자,1
이르는 성장률이다,1
제휴,1
발표하고,1
파트너십을 유지하며,1
협의하고 있다면서,1
앞세워,1
시장을 공략한다는,1
선보인,1
이점을 지녔다는,1
구축한,1
네트워크를 활용해,1
전환을 유도한다는,1
목표를 수립했다,1
개최하기도 했다,1
고객파트너사,1
참석했다,1
확보했으며,1
쌓아온 기술력으로,1
시장에 선보여,1
매출규모를 확대한다는,1
고객사 확보도,1
추진할 방침으로,1
선점을,1
선보일,1
공들이고,1
공략하겠다는 전략이다,1
파트너사로부터,1
매출에 반영될,1
주목받는,1
자리매김하고,1
인정받고,1
발표했다,1
공들일,1
브랜드를 통일하고,1
적극적인 투자를,1
넓히겠다는 의지다,1
개발툴,0
진출하겠다는,1
유도하겠다고,1
확보했다며,1
강화했다,1
의지다,1
예상된다며,0
자리잡는,1
타깃으로 정했다,1
확대하는,1
오류를 정정한다고,1
투자목적에서,1
일신상의 사유로,-1
사임해,-1
사임하면서,-1
개선과,1
판매도 급증하는,1
본격적으로,1
추진하면서,1
앞다퉈,1
확장함에,1
달성할,1
적용할,0
급증하고,1
계약했다,1
기대했다,1
늘어날 기대다,1
기대된다라고,1
언급했다,1
성능개발,1
발표한다,1
▲성능개발,1
개선을,1
도입한다공공,1
▲성능,1
기능이 추가됐다,1
편의성,1
서비스인공지능,1
인공지능으로,1
▲생성형,1
인공지능과,1
최초라는,1
가능성이,1
적용받을,0
가능성도,1
가시화될,1
마련해왔다,1
자금을 마련했다,1
사업개발인허가,1
아쉬운 부분으로,-1
지적돼왔다,-1
가시화,1
기대감이 생기고,1
연이어 성공하고,1
입증한,1
폭넓게 도입돼,1
인허가를 획득했다,1
기대감에 힘입어,1
주가가 큰폭으로 ,1
상승해,1
지정받았다고,1
발표했는데,1
기대되고,1
마케팅을 본격화할,1
인정받아,1
상승에,1
공급되고,1
치솟아,1
최고가를,1
새로썼다,1
우선순위에,1
배치된다고,1
테마주로,1
급등세를,1
상승세는,1
최초의,1
유효성을 입증했다,1
입증했다며,1
상승도,1
지정됐으며,1
상위권순매도,1
고수익,1
순매수한,1
매수세가 몰린,1
우상향,1
리튬생산,1
가치에,1
여지가 있기,1
보합세를,0
오름세를 보인,1
차익실현,1
상승을,1
매수물량이,1
순매도,-1
상위권에 올렸다,1
순매수,1
매도가,-1
테마주,1
이상급등락,1
수상했다고,1
기여한,1
포상을 수여한다,1
공로를,1
연구개발본부장을,0
연구개발을,0
기여했다는,1
수상했다,1
수여한다,1
이끌어낸,1
인정받았다,1
도맡아,1
선정돼,1
진입했다,1
론칭해,1
구축했다,1
의료인공지능,0
뻗어나가고,1
창출이 이뤄지기,1
수익성이 개선될,1
엄격한 규제의,-1
만만치않은,-1
손꼽힌다국내,1
곳뿐국내에서,1
통과하기가 어렵다는,-1
유리하다는,1
이점으로도 작용한다,1
묶어두는,-1
민감한,-1
가능성은,1
규제를,-1
규제는,-1
장악하고,1
체결한,1
공급계약,1
대상을 확대하기로,1
이상을 차지해왔다,1
급등했는데,1
높다,1
정조준하는,1
정조준하며,1
우량한,1
눈길을 끌었다,1
안정적,1
영업활동을 펼치고,1
공급계약을,1
납품하고,1
인허가도,1
다양하게 넓히고,1
본격화가,1
전환사채를,-1
밟는,0
섣부른,-1
지적도,-1
상이하기,-1
적절한 전략을,1
적용받기까지는,-1
험난한 과정이,-1
협상해야,-1
대응하기에,-1
작다는,0
어려움이,-1
지적했다,-1
타깃하는,1
성장에,1
한계가,-1
안된다며,-1
적자,-1
인공지능이,1
진화하고,1
규제와,-1
기술적 한계로,-1
걸음마,-1
단계에 머무르고,-1
탄생하고,1
주목된다,1
질을 향상시키는,1
보완해,1
예측해,1
선제적,1
조치를 취할,1
디지털화라는,1
패러다임,1
전환기에 맞물리면서,1
대세가 되어가고,1
성장해,1
우려해,-1
인정하는 분위기다,1
덕분에,1
높일 수 있었다고,1
필수적인 요소가,1
필요하면서,1
도움이,1
기대 아직까진,-1
본격화되면,1
안착하면,1
보장될,1
전망도 나온다,1
지배력이 증가했다,1
지배력이 떨어졌다,-1
가격,0
영업이익률은 상회해왔다,1
선점한다면,1
점유율을 유지하면서,1
영업이익률을 형성할,1
적자의,-1
벗어나지 못하는,-1
상업화 단계이기 때문으로,1
적자,-1
문제는 해결될,1
매출액보다 판매관리비가 커,-1
영업손실이,-1
부진한,-1
연구개발비로,0
개발판매하는,1
연구개발비가,0
미미하기,-1
비용의 증가,-1
고정비가 낮은 수준이다,1
손익분기점을 넘어서는,1
흑자,1
이익율이 높아질,1
손익분기점에 도달할,1
예상된다,1
돌파했으며,1
차지하고 있다,1
고리를 끊어낼,1
진입하면서,1
보조하는,1
특허의료진,1
편의성효율성,1
제고가,1
등록이,0
결정됐다고,1
특허등록,1
쉽게 수정하는,1
개발됐다임상,1
불편이 있었다,-1
적용되면,1
판단에,0
도움을,1
준비하고,1
하버드 종합병원과,1
계약에,1
연구개발,0
역량이 집약된,1
체계적인,0
성공적,1
높이는,1
기술美,1
특허가,1
적용되면,1
수정하고자,1
진입이,1
이뤄질,1
노력하겠다고,1
인수◇대신정보통신보통주,1
납품,1
인사를 단행하고,1
맺었다고,1
고른 성장으로,1
성장으로,1
영업적자를,-1
축소할 투자의견과,-1
목표주가는,1
적용에,0
연구개발비,0
기록했으며,1
유수,1
체결해,1
레퍼런스를,0
매출액은,0
영업적자는,-1
축소를 예상한다며,-1
집중되는,1
수요증가와,1
꾸준한,1
전망한다며,1
보호예수지정에서,-1
해제되지만,1
금융감독원이,-1
의무화하자,1
주목받고 있다,1
금감원 지침에,-1
제공됐다,1
해소하고,1
지속적,1
용이하다,1
고성능의,1
비용도 저렴하다,1
방지,1
이미지,0
부정,-1
방어한다,1
자사의,0
뛰어넘는,1
고도화된,1
자랑하며,1
입장,0
적용이,0
세계적인,1
입증했으며,1
내부통제는,0
사고를 방지하고,1
이끌,1
자회사,0
최대주주로,0
적자를,-1
마주했다,-1
구조 변동,-1
영업손실은,-1
전년영업손실 커졌다,-1
법인세 차감,1
법인세 증감,-1
손실도,-1
인건비 때문이라고,-1
반발이 상당하다,-1
적자가,-1
우려를 키우고,-1
흑자전환,1
흑자폭,0
예상했다,0
내다봤다. 하지만,-1
못한,-1
특례,1
상장했다,1
완화된,1
퇴출,-1
미만이거나,-1
계속손실해당,-1
손실이,-1
자기자본의 초과,-1
관리종목으로,-1
계속손실,-1
유예된다,1
증가뿐,-1
통제로,-1
수익성도,0
회복국면을 맞이할,1
판단된다고,0
지연,-1
리스크라고,-1
강세다,1
육성을 아끼지,1
일상으로 스며드는,1
신호탄이,1
극대화하여,1
선도할,1
방문했다,1
의견을 나눴다,1
공감대를 형성했다고,1
넘는다,1
선보였다,1
기술력이 있다,1
▲행동인식,1
▲이상상황,1
실용화,1
적용되는,1
한국대표단,1
앞에서,1
조기감지,1
단독시연했다,1
중이며,0
단계를,0
통과한,1
유일하다고,1
정식,0
수준으로,0
예상한다고,0
엄청난,-1
손해배상,-1
높다고,1
주도의,1
사고로,-1
교체한다는,-1
갖췄다,1
가공까지,0
어려움을 겪는,-1
지원사업이다,1
지원사업,0
선정,1
수주를,1
성공전략을,0
기업별,0
맞춤,0
제시할,0
웨비나,0
참여를,0
희망하는,0
수요기업은,0
유수의,1
▲이상행동,1
▲자율주행,1
되기를 바란다고,1
콘셉트를,0
론칭하고,1
웹사이트 개편,1
공개한다,1
디바이스를,0
연결해,0
해결하는,1
만들겠다는,1
비전하에,1
탄생한,1
산업군에,0
적용되고 있다,1
핵심기술인,1
인식해,0
분석하는,0
상회하는,1
국립표준기술연구소가,0
인증한,1
탐지,0
통과해,1
인정받은,1
식별하고,1
최상위권의,1
분야에서는,0
사무실,0
출입제어와,0
물리적,0
생활을,0
안전하게,1
보호한다,1
핀테크,0
금융사에,0
신분증,0
진위확인,0
안전하고,1
지원하고,1
지속가능한,1
미래와 연관된,1
분야에서도,1
일조하고,1
구축으로,1
건강,0
적용하여,1
사회의 기여할,1
론칭에,1
노력을,1
선보이는,1
만들어낼,1
스마트,0
선보인다는,1
총칭한다,0
비전,1
적용하고,1
인정받았다,1
자랑한다,1
보이며,1
핀테크,0
수요기업,1
우수 지원사업의,1
성공파트너로,1
선정되면서,1
기업수요기업에,1
기업공급기업은,1
창출의,1
공급기업으로부터,1
구매활용함으로써,1
촉진할,1
시각지능,0
산업분야에서,0
안면,0
피부분석,0
기술개발,0
맞춤케어,1
공급기업으로,1
넘나들며,1
융합확장해,1
외에도,1
전반에,1
의뢰할,0
대한민국이,0
선도하는,1
성장하는,1
되고자,1
참여하고,1
노력이,0
활성화시키고,1
도와,1
거두는,1
대상에서,0
